epoch,train_accuracy,val_accuracy
1,0.2173,0.2886
2,0.4228,0.3423
3,0.6166,0.4631
4,0.6569,0.5772
5,0.6611,0.6107
6,0.6862,0.5369
7,0.6871,0.5973
8,0.6787,0.5503
9,0.6795,0.5772
10,0.6946,0.5705
11,0.7022,0.5906
12,0.7030,0.5570
13,0.7131,0.6242
14,0.7089,0.6577
15,0.7315,0.6040
16,0.7114,0.6174
17,0.6938,0.5705
18,0.7248,0.6577
19,0.7156,0.6107
20,0.7357,0.6309
21,0.7299,0.6040
22,0.7324,0.6174
23,0.7332,0.6040
24,0.7450,0.6577
25,0.7450,0.6174
26,0.7567,0.5839
27,0.7508,0.6309
28,0.7492,0.6107
29,0.7819,0.6309
30,0.7542,0.5906
31,0.7668,0.6174
32,0.7710,0.5906
33,0.7777,0.6577
34,0.7710,0.6711
35,0.7852,0.6711
36,0.7819,0.6040
37,0.7961,0.6779
38,0.7768,0.5772
39,0.7886,0.6242
40,0.7827,0.6242
41,0.8003,0.6510
42,0.7903,0.6242
43,0.8087,0.6107
44,0.8070,0.6040
45,0.8037,0.6510
46,0.7945,0.6107
47,0.7886,0.6913
48,0.8104,0.5973
49,0.8087,0.6309
50,0.8096,0.6309
51,0.7978,0.6376
52,0.8331,0.6376
53,0.8255,0.6577
54,0.8163,0.6443
55,0.8138,0.6376
56,0.8045,0.6644
57,0.8289,0.6510
58,0.8196,0.6510
59,0.8331,0.6443
60,0.8305,0.6242
61,0.8205,0.6242
62,0.8154,0.6510
63,0.8272,0.6040
64,0.8322,0.6577
65,0.8314,0.6644
66,0.8289,0.6376
67,0.8238,0.6644
68,0.8272,0.6242
69,0.8129,0.6779
70,0.8230,0.6376
71,0.8465,0.6846
72,0.8247,0.6107
73,0.8381,0.6644
74,0.8280,0.6309
75,0.8381,0.6711
76,0.8263,0.6376
77,0.8331,0.6443
78,0.8087,0.6443
79,0.8305,0.6174
80,0.8297,0.6107
81,0.8414,0.6174
82,0.8456,0.6644
83,0.8414,0.7181
84,0.8364,0.6376
85,0.8440,0.6577
86,0.8440,0.6644
87,0.8607,0.6577
88,0.8406,0.6174
89,0.8431,0.6980
90,0.8482,0.6376
91,0.8398,0.6242
92,0.8423,0.6376
93,0.8515,0.6644
94,0.8482,0.6577
95,0.8347,0.6443
96,0.8465,0.6309
97,0.8448,0.6443
98,0.8431,0.6644
99,0.8507,0.6510
100,0.8465,0.6443
101,0.8448,0.6711
102,0.8490,0.6779
103,0.8498,0.6711
104,0.8532,0.6711
105,0.8440,0.6510
106,0.8674,0.6174
107,0.8616,0.6577
108,0.8624,0.6510
109,0.8448,0.6309
110,0.8490,0.6376
111,0.8666,0.6577
112,0.8482,0.6779
113,0.8691,0.6980
114,0.8473,0.6779
115,0.8574,0.6711
116,0.8658,0.6510
117,0.8498,0.6913
118,0.8540,0.6913
119,0.8624,0.6577
120,0.8565,0.6510
121,0.8582,0.6779
122,0.8465,0.6107
123,0.8683,0.6443
124,0.8666,0.6040
125,0.8633,0.6040
126,0.8582,0.6711
127,0.8414,0.6711
128,0.8767,0.6644
129,0.8641,0.6711
130,0.8490,0.6644
131,0.8666,0.7248
132,0.8683,0.6577
133,0.8633,0.6242
134,0.8641,0.6644
135,0.8700,0.6846
136,0.8532,0.6644
137,0.8691,0.6779
138,0.8658,0.6577
139,0.8674,0.7047
140,0.8674,0.6711
141,0.8641,0.6846
142,0.8523,0.6711
143,0.8641,0.6443
144,0.8649,0.6510
145,0.8599,0.6510
146,0.8490,0.6779
147,0.8482,0.6913
148,0.8758,0.6711
149,0.8683,0.6510
150,0.8465,0.6711
151,0.8574,0.7047
152,0.8658,0.6309
153,0.8658,0.6644
154,0.8624,0.6040
155,0.8742,0.6376
156,0.8582,0.6376
157,0.8532,0.6711
158,0.8599,0.6779
159,0.8708,0.6779
160,0.8591,0.6846
161,0.8624,0.6779
162,0.8557,0.6174
163,0.8725,0.6980
164,0.8708,0.6711
165,0.8691,0.6913
166,0.8767,0.6309
167,0.8624,0.6376
168,0.8867,0.6913
169,0.8691,0.6577
170,0.8792,0.6040
171,0.8750,0.6510
172,0.8758,0.6309
173,0.8658,0.6711
174,0.8456,0.6309
175,0.8750,0.6443
176,0.8716,0.6644
177,0.8859,0.6577
178,0.8616,0.6577
179,0.8909,0.6510
180,0.8624,0.6577
181,0.8607,0.6443
182,0.8683,0.5839
183,0.8758,0.6644
184,0.8758,0.7047
185,0.8582,0.6779
186,0.8859,0.6779
187,0.8591,0.6711
188,0.8599,0.6913
189,0.8641,0.6577
190,0.8599,0.6443
191,0.8700,0.6376
192,0.8649,0.6846
193,0.8767,0.6309
194,0.8733,0.6980
195,0.8641,0.6510
196,0.8691,0.5906
197,0.8817,0.6644
198,0.8683,0.6846
199,0.8607,0.6443
200,0.8624,0.6510
